,Month,Time,Position,ADC
0,1,00:00:00,157.8695425,0
1,1,00:10:00,160.8407384,0
2,1,00:20:00,163.8119343,0
3,1,00:30:00,166.7831302,0
4,1,00:40:00,169.7543261,0
5,1,00:50:00,172.725522,0
6,1,01:00:00,175.6967179,0
7,1,01:10:00,178.6679138,0
8,1,01:20:00,181.6391097,650
9,1,01:30:00,184.6103056,650
10,1,01:40:00,187.5815016,650
11,1,01:50:00,190.5526975,650
12,1,02:00:00,193.5238934,650
13,1,02:10:00,196.4950893,650
14,1,02:20:00,199.4662852,650
15,1,02:30:00,202.4374811,650
16,1,02:40:00,205.408677,650
17,1,02:50:00,208.3798729,650
18,1,03:00:00,211.351071,650
19,1,03:10:00,214.3222647,650
20,1,03:20:00,217.2934606,650
21,1,03:30:00,220.2646565,650
22,1,03:40:00,223.2358524,650
23,1,03:50:00,226.2070483,650
24,1,04:00:00,229.1782442,650
25,1,04:10:00,232.1494401,650
26,1,04:20:00,235.1206361,650
27,1,04:30:00,238.091832,650
28,1,04:40:00,241.0630279,650
29,1,04:50:00,244.0342238,650
30,1,05:00:00,247.0054197,650
31,1,05:10:00,249.9766156,650
32,1,05:20:00,252.9478115,650
33,1,05:30:00,255.9190074,650
34,1,05:40:00,258.8902033,650
35,1,05:50:00,261.8613992,650
36,1,06:00:00,264.8325951,650
37,1,06:10:00,267.803791,650
38,1,06:20:00,270.7749869,650
39,1,06:30:00,273.7461828,650
40,1,06:40:00,276.7173787,650
41,1,06:50:00,279.6505747,650
42,1,07:00:00,282.6597706,650
43,1,07:10:00,285.6309665,650
44,1,07:20:00,288.6021624,650
45,1,07:30:00,291.5733583,650
46,1,07:40:00,294.5445542,650
47,1,07:50:00,297.5157501,650
48,1,08:00:00,300.486946,650
49,1,08:10:00,303.4581419,650
50,1,08:20:00,306.0337808,650
51,1,08:30:00,309.4005337,650
52,1,08:40:00,312.3717296,650
53,1,08:50:00,315.3025528,650
54,1,09:00:00,318.3141214,650
55,1,09:10:00,321.2853173,650
56,1,09:20:00,324.2565132,650
57,1,09:30:00,327.2277092,650
58,1,09:40:00,330.1989051,650
59,1,09:50:00,333.170101,650
60,1,10:00:00,336.1412969,650
61,1,10:10:00,339.1124928,650
62,1,10:20:00,342.0836507,650
63,1,10:30:00,345.0548846,650
64,1,10:40:00,348.0260805,650
65,1,10:50:00,350.9972764,650
66,1,11:00:00,353.9684723,650
67,1,11:10:00,356.9396682,650
68,1,11:20:00,359.9108641,650
69,1,11:30:00,362.88206,650
70,1,11:40:00,365.8532559,650
71,1,11:50:00,368.8244518,650
72,1,12:00:00,56.05161077,650
73,1,12:10:00,53.08041487,650
74,1,12:20:00,50.10921896,650
75,1,12:30:00,47.13802305,650
76,1,12:40:00,44.16682715,650
77,1,12:50:00,41.19563124,650
78,1,13:00:00,38.22443534,650
79,1,13:10:00,35.25323943,650
80,1,13:20:00,32.28204352,650
81,1,13:30:00,29.31084762,650
82,1,13:40:00,26.33965171,650
83,1,13:50:00,23.3684558,650
84,1,14:00:00,20.3972599,650
85,1,14:10:00,17.42606399,650
86,1,14:20:00,14.45486808,650
87,1,14:30:00,11.48367218,650
88,1,14:40:00,8.512476272,650
89,1,14:50:00,5.541280365,650
90,1,15:00:00,2.570084459,650
91,1,15:10:00,0.401111447,1023
92,1,15:20:00,3.372307354,1023
93,1,15:30:00,6.34350326,1023
94,1,15:40:00,9.314699166,1023
95,1,15:50:00,12.28589507,1023
96,1,16:00:00,15.25709098,1023
97,1,16:10:00,18.22828711,1023
98,1,16:20:00,21.19948279,1023
99,1,16:30:00,24.1706787,1023
100,1,16:40:00,27.1418746,1023
101,1,16:50:00,30.11307051,1023
102,1,17:00:00,33.08426642,1023
103,1,17:10:00,36.05546232,1023
104,1,17:20:00,39.02665823,1023
105,1,17:30:00,41.99785414,1023
106,1,17:40:00,44.96905004,1023
107,1,17:50:00,47.94024595,1023
108,1,18:00:00,50.91144186,1023
109,1,18:10:00,53.88263776,1023
110,1,18:20:00,56.85383367,1023
111,1,18:30:00,59.82502957,1023
112,1,18:40:00,62.79622548,886
113,1,18:50:00,65.76742139,867
114,1,19:00:00,68.73861729,847
115,1,19:10:00,71.7098132,827
116,1,19:20:00,74.68100911,806
117,1,19:30:00,77.65220501,784
118,1,19:40:00,80.62340092,762
119,1,19:50:00,83.59459683,739
120,1,20:00:00,86.56579273,716
121,1,20:10:00,89.53698864,692
122,1,20:20:00,92.50818454,667
123,1,20:30:00,95.47938045,643
124,1,20:40:00,98.45057636,617
125,1,20:50:00,101.4217723,592
126,1,21:00:00,104.3929682,566
127,1,21:10:00,107.3641641,540
128,1,21:20:00,110.33536,514
129,1,21:30:00,113.3065559,488
130,1,21:40:00,116.2777518,462
131,1,21:50:00,119.2489477,436
132,1,22:00:00,122.2201436,0
133,1,22:10:00,125.1913395,0
134,1,22:20:00,128.1625354,0
135,1,22:30:00,131.1337313,0
136,1,22:40:00,134.1049272,0
137,1,22:50:00,137.0761231,0
138,1,23:00:00,140.047311,0
139,1,23:10:00,143.018515,0
140,1,23:20:00,145.9896509,0
141,1,23:30:00,148.9609068,0
142,1,23:40:00,151.9321027,0
143,1,23:50:00,154.9032986,0
144,2,00:00:00,151.4174668,0
145,2,00:10:00,154.1609511,0
146,2,00:20:00,156.1023435,0
147,2,00:30:00,159.6479195,0
148,2,00:40:00,162.3914037,0
149,2,00:50:00,165.134888,0
150,2,01:00:00,167.8783722,0
151,2,01:10:00,170.6218564,0
152,2,01:20:00,173.3653406,0
153,2,01:30:00,176.1088249,0
154,2,01:40:00,178.8523091,0
155,2,01:50:00,181.5957933,650
156,2,02:00:00,184.3392775,650
157,2,02:10:00,187.0827618,650
158,2,02:20:00,189.826246,650
159,2,02:30:00,192.5697302,650
160,2,02:40:00,195.3132144,650
161,2,02:50:00,198.0566987,650
162,2,03:00:00,200.8001829,650
163,2,03:10:00,203.5436671,650
164,2,03:20:00,206.2871513,650
165,2,03:30:00,209.0306356,650
166,2,03:40:00,211.7741198,650
167,2,03:50:00,214.517604,650
168,2,04:00:00,217.2610882,650
169,2,04:10:00,220.0045725,650
170,2,04:20:00,222.7480567,650
171,2,04:30:00,225.4915409,650
172,2,04:40:00,228.2350251,650
173,2,04:50:00,230.9785094,650
174,2,05:00:00,233.7219936,650
175,2,05:10:00,236.4654778,650
176,2,05:20:00,239.208962,650
177,2,05:30:00,241.9524463,650
178,2,05:40:00,244.6959305,650
